"ID","MASTERRECORDID","NAME","TYPE","PARENTID","BILLINGCITY","BILLINGSTATE","BILLINGCOUNTRY","WEBSITE","INDUSTRY","ANNUALREVENUE","OWNERID","CREATEDDATE","CREATEDBYID","STAGE__C","MARKETINGTIER__C","SUB_INDUSTRY__C","TARGET_ACCOUNT__C","MODEL_N_CUSTOMER__C","MARKETING_TARGET__C","STATUS"
"00100000001tVjeAAE","","Alcon Laboratories","Manufacturer","001000000031FJLAA2","FORT WORTH","TX","USA","www.alcon.com","Life Sciences","3.2E9","00500000006oz7zAAA","2002-03-08T07:01:03.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVjjAAE","","Allegiance Healthcare Corporation","Distributor","00100000001tVsfAAE","Waukegan","IL","USA","http:www.allegiance.net","Life Sciences","1.685E9","00500000006oz7zAAA","2002-03-08T07:01:04.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVjkAAE","","Actavis Inc.","Manufacturer","","MORRISTOWN","NJ","USA","www.actavis.com","Life Sciences","3.35E8","00500000006oz7zAAA","2002-03-08T07:01:04.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVjuAAE","","Ansell Healthcare","Manufacturer","","Richmond","VIC","Australia","www.ansellhealthcare.com","Life Sciences","7.38E8","005000000074E1AAAU","2002-03-08T07:01:05.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVjvAAE","","Ansell Healthcare | Ansell Perry Inc.","Manufacturer","00100000001tVjuAAE","Red Bank","NJ","USA","www.ansell.com","Life Sciences","7.38E8","005000000074E1AAAU","2002-03-08T07:01:05.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVjwAAE","","Thermo Fisher Scientific","Manufacturer","","Waltham","MA","USA","http://www.thermofisher.com/global/en/home.asp","Life Sciences","9.0E9","005000000074E1AAAU","2002-03-08T07:01:06.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVkJAAU","","Sanofi-Aventis","Manufacturer","","Bridgewater","NJ","USA","www.sanofi-aventis.com","Life Sciences","3.61093E10","00500000006oz7zAAA","2002-03-08T07:01:08.000Z","00500000004cHgyAAE","0 - Target","A","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVkQAAU","","Bausch & Lomb | Surgical","Manufacturer","00100000001tVkRAAU","San Dimas","CA","USA","www.bausch.com","Life Sciences","500.0","005000000071zziAAA","2002-03-08T07:01:09.000Z","00500000004cHgyAAE","1 - Prospect","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVkRAAU","","Bausch & Lomb  Pharma HQ","Manufacturer","","Rochester","NY","USA","http:www.bausch.com","Life Sciences","3.5E8","005000000074E15AAE","2002-03-08T07:01:09.000Z","00500000004cHgyAAE","0 - Target","","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVkSAAU","","Bausch & Lomb Pharmaceuticals Inc.","Manufacturer","00100000001tVkRAAU","Tampa","FL","USA","www.bausch.com","Life Sciences","2.5E9","005000000074E15AAE","2002-03-08T07:01:09.000Z","00500000004cHgyAAE","0 - Target","D","Pharma","true","false","Target","Item queried and written successfully"
"00100000001tVkXAAU","","Bayer Corp. -Polymers","Manufacturer","00100000001tVsbAAE","Pittsburgh","PA","USA","","Life Sciences","0.0","005000000071zziAAA","2002-03-08T07:01:09.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVkYAAU","","Beckman Coulter Inc.","Manufacturer","","Fullerton","CA","USA","http://www.beckmancoulter.com","Life Sciences","3.0989E9","0050000000726E0AAI","2002-03-08T07:01:10.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVkaAAE","","Becton Dickinson and Company","Manufacturer","","Columbus","NE","USA","www.bd.com","Life Sciences","7.1836E9","005000000074E1AAAU","2002-03-08T07:01:10.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVkbAAE","","Becton Dickinson | Biosciences","Manufacturer","00100000001tVkaAAE","Palo Alto","CA","USA","www.bd.com","Life Sciences","7.1836E9","005000000071zziAAA","2002-03-08T07:01:10.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVkcAAE","","Becton Dickinson | Consumer Products","Manufacturer","00100000001tVkaAAE","Franklin Lakes","NJ","USA","www.bd.com","Life Sciences","4.934745E9","005000000074E1AAAU","2002-03-08T07:01:10.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVkfAAE","","Biomet Inc.","Manufacturer","00100000001tVkfAAE","Warsaw","IN","USA","www.biomet.com","Life Sciences","1.1E9","005000000074E1AAAU","2002-03-08T07:01:10.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVkjAAE","","Bristol-Myers Squibb Co.","Manufacturer","","Plainsboro","NJ","USA","www.bms.com","Life Sciences","2.0597E10","005000000074neMAAQ","2002-03-08T07:01:11.000Z","00500000004cHgyAAE","0 - Target","A","Bio-Tech","true","true","Target","Item queried and written successfully"
"00100000001tVkkAAE","","ConvaTec","Manufacturer","","SKILLMAN","NJ","USA","www.convatec.com","Life Sciences","2.0E9","005000000074E1AAAU","2002-03-08T07:01:11.000Z","00500000004cHgyAAE","3 - Qualified","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVl0AAE","","C.R. Bard Inc.","Manufacturer","","New Providence","NJ","USA","http://www.crbard.com","Life Sciences","1.181E9","005000000074E1AAAU","2002-03-08T07:01:12.000Z","00500000004cHgyAAE","5 - Accepted","","Med Devices","true","true","Target","Item queried and written successfully"
"00100000001tVl9AAE","","Cardinal Health Inc. | Bindley Western Industries","Manufacturer","00100000001tVsfAAE","Indianapolis","IN","USA","http://www.bindley.com","Life Sciences","4.35E8","005000000071zziAAA","2002-03-08T07:01:13.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVlAAAU","","Cardinal Health-Wheeling Inc.","Distributor","00100000001tVsfAAE","Dublin","OH","USA","","Life Sciences","6.50535E10","00500000006oz7zAAA","2002-03-08T07:01:13.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVlVAAU","","D&K Healthcare Resources","Manufacturer","","St. Louis","MO","USA","www.dkwd.com","Life Sciences","2.5412E9","005000000071zziAAA","2002-03-08T07:01:15.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Disqualified","Item queried and written successfully"
"00100000001tVlWAAU","","Dade Behring Inc.","Manufacturer","","Deerfield","IL","USA","http://www.dadebehring.com","Life Sciences","4.955E8","005000000074nYnAAI","2002-03-08T07:01:16.000Z","00500000004cHgyAAE","0 - Target","","Pharma","false","false","Target","Item queried and written successfully"
"00100000001tVlcAAE","","Dentsply International","Manufacturer","","York","PA","USA","http://www.dentsply.com","Life Sciences","1.6942E9","005000000071zziAAA","2002-03-08T07:01:16.000Z","00500000004cHgyAAE","1 - Prospect","","Other","false","false","Target","Item queried and written successfully"
"00100000001tVlxAAE","","Fresenius AG","Manufacturer","","Bad Homburg Vdh","","Germany","http://www.fresenius.de","Life Sciences","9.9176E9","005000000074E1AAAU","2002-03-08T07:01:21.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
"00100000001tVm0AAE","","Gambro Ab","Manufacturer","","Lakewood","CO","USA","http://www.gambro.com","Life Sciences","3.6064E9","005000000074E1AAAU","2002-03-08T07:01:21.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","true","false","Target","Item queried and written successfully"
"00100000001tVm1AAE","","Gambro Renal Products","Manufacturer","00100000001tVm0AAE","Lakewood","CO","USA","www.gambro.com","Life Sciences","1.1794E9","005000000074E1AAAU","2002-03-08T07:01:21.000Z","00500000004cHgyAAE","0 - Target","","Med Devices","false","false","Target","Item queried and written successfully"
